,StartStopId,EndStopId,busTravelTime
0,S10,S11,6.1875
1,S10,S12,13.193548387096774
2,S10,S13,20.181818181818183
3,S10,S14,25.057692307692307
4,S10,S15,33.857142857142854
5,S10,S16,39.63333333333333
6,S10,S17,45.75
7,S10,S2,120.70588235294117
8,S11,S12,6.7894736842105265
9,S11,S13,14.0
10,S11,S14,18.975
11,S11,S15,28.333333333333332
12,S11,S16,33.65384615384615
13,S11,S17,40.0
14,S11,S2,109.453125
15,S12,S13,7.409090909090909
16,S12,S14,12.742857142857142
17,S12,S15,21.6
18,S12,S16,27.414634146341463
19,S12,S17,33.9
20,S12,S2,105.87142857142857
21,S13,S14,6.104166666666667
22,S13,S15,15.285714285714286
23,S13,S16,20.958333333333332
24,S13,S17,26.6
25,S13,S2,106.6470588235294
26,S14,S15,9.583333333333334
27,S14,S16,15.268292682926829
28,S14,S17,21.857142857142858
29,S14,S2,112.55223880597015
30,S15,S16,5.444444444444445
31,S15,S17,12.142857142857142
32,S15,S2,98.37931034482759
33,S16,S17,7.375
34,S16,S2,110.91333333333333
35,S17,S2,115.84931506849315
36,S2,S10,110.72424242424242
37,S2,S11,110.05555555555556
38,S2,S12,111.76964769647697
39,S2,S13,116.20647773279352
40,S2,S14,112.49749373433583
41,S2,S15,117.25954198473282
42,S2,S16,113.72954545454546
43,S2,S17,113.7537688442211
44,S2,S3,104.85972850678733
45,S2,S4,102.59937888198758
46,S2,S5,110.62214411247803
47,S2,S6,106.43884892086331
48,S2,S7,104.34591194968553
49,S2,S8,106.00503355704699
50,S2,S9,108.99049429657795
51,S3,S10,39.92307692307692
52,S3,S11,45.80555555555556
53,S3,S12,52.40909090909091
54,S3,S13,58.52
55,S3,S14,65.51578947368421
56,S3,S15,73.71428571428571
57,S3,S16,79.72549019607843
58,S3,S17,86.0
59,S3,S2,112.76923076923077
60,S3,S4,5.0285714285714285
61,S3,S5,8.147540983606557
62,S3,S6,16.0
63,S3,S7,21.02173913043478
64,S3,S8,27.24074074074074
65,S3,S9,33.15492957746479
66,S4,S10,35.833333333333336
67,S4,S11,42.083333333333336
68,S4,S12,47.44444444444444
69,S4,S13,54.166666666666664
70,S4,S14,59.94444444444444
71,S4,S15,68.0
72,S4,S16,75.06666666666666
73,S4,S17,80.8
74,S4,S2,109.54545454545455
75,S4,S5,4.0
76,S4,S6,11.375
77,S4,S7,16.95
78,S4,S8,25.0
79,S4,S9,30.405405405405407
80,S5,S10,32.38461538461539
81,S5,S11,37.875
82,S5,S12,44.42857142857143
83,S5,S13,50.7037037037037
84,S5,S14,56.57692307692308
85,S5,S15,65.33333333333333
86,S5,S16,73.64
87,S5,S17,77.34482758620689
88,S5,S2,119.72641509433963
89,S5,S6,8.222222222222221
90,S5,S7,13.844444444444445
91,S5,S8,19.122448979591837
92,S5,S9,25.254545454545454
93,S6,S10,24.58823529411765
94,S6,S11,30.166666666666668
95,S6,S12,37.0
96,S6,S13,43.125
97,S6,S14,48.81818181818182
98,S6,S15,59.5
99,S6,S16,63.10344827586207
100,S6,S17,69.83333333333333
101,S6,S2,118.51351351351352
102,S6,S7,6.071428571428571
103,S6,S8,13.916666666666666
104,S6,S9,17.59259259259259
105,S7,S10,18.970588235294116
106,S7,S11,24.9375
107,S7,S12,31.285714285714285
108,S7,S13,38.0
109,S7,S14,44.546875
110,S7,S15,52.5
111,S7,S16,58.06060606060606
112,S7,S17,64.36363636363636
113,S7,S2,118.04938271604938
114,S7,S8,6.148148148148148
115,S7,S9,12.242424242424242
116,S8,S10,14.23076923076923
117,S8,S11,19.266666666666666
118,S8,S12,25.586206896551722
119,S8,S13,32.083333333333336
120,S8,S14,37.806451612903224
121,S8,S15,46.666666666666664
122,S8,S16,52.52272727272727
123,S8,S17,58.72222222222222
124,S8,S2,115.41666666666667
125,S8,S9,6.821428571428571
126,S9,S10,7.928571428571429
127,S9,S11,13.625
128,S9,S12,19.795454545454547
129,S9,S13,26.761904761904763
130,S9,S14,31.827956989247312
131,S9,S15,42.5
132,S9,S16,46.83673469387755
133,S9,S17,52.869565217391305
134,S9,S2,107.5934065934066
135,S10,S3,225.5656108597285
136,S10,S4,223.30526123492876
137,S10,S5,231.3280264654192
138,S10,S6,227.1447312738045
139,S10,S7,225.05179430262672
140,S10,S8,226.71091590998816
141,S10,S9,229.69637664951912
142,S11,S10,220.17736742424242
143,S11,S3,214.31285350678735
144,S11,S4,212.05250388198758
145,S11,S5,220.07526911247803
146,S11,S6,215.8919739208633
147,S11,S7,213.79903694968553
148,S11,S8,215.458158557047
149,S11,S9,218.44361929657794
150,S12,S10,216.595670995671
151,S12,S11,215.9269841269841
152,S12,S3,210.73115707821592
153,S12,S4,208.47080745341614
154,S12,S5,216.4935726839066
155,S12,S6,212.31027749229187
156,S12,S7,210.2173405211141
157,S12,S8,211.87646212847557
158,S12,S9,214.8619228680065
159,S13,S10,217.37130124777184
160,S13,S11,216.70261437908496
161,S13,S12,218.41670652000636
162,S13,S3,211.50678733031674
163,S13,S4,209.246437705517
164,S13,S5,217.26920293600745
165,S13,S6,213.08590774439273
166,S13,S7,210.99297077321495
167,S13,S8,212.6520923805764
168,S13,S9,215.63755312010736
169,S14,S10,223.27648123021257
170,S14,S11,222.6077943615257
171,S14,S12,224.32188650244711
172,S14,S13,228.75871653876368
173,S14,S3,217.4119673127575
174,S14,S4,215.15161768795772
175,S14,S5,223.17438291844817
176,S14,S6,218.99108772683346
